names	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8
ENSG00000162572	4	4	7	9	7	11	10	9
ENSG00000107404	253	256	276	254	234	226	367	213
ENSG00000215915	20	20	23	11	44	27	41	29
ENSG00000205090	0	0	1	0	0	0	6	0
ENSG00000215014	26	14	38	15	22	17	117	25
ENSG00000248333	1858	1132	1868	1311	1383	1303	1884	1569
ENSG00000189339	360	368	435	265	326	280	394	367
ENSG00000008128	638	390	623	642	742	551	1071	728
ENSG00000215790	41	53	93	50	36	39	114	58
ENSG00000157911	332	223	276	185	160	156	725	291
ENSG00000157870	657	621	728	579	645	542	1090	701
ENSG00000142606	8	8	1	0	5	3	6	3
ENSG00000215912	2	5	8	4	13	5	10	5
ENSG00000130762	382	285	396	273	357	220	579	329
ENSG00000162591	24	35	50	19	27	17	44	36
ENSG00000235169	7	6	4	5	4	10	5	18
ENSG00000169598	216	246	262	384	294	261	268	438
ENSG00000116254	8	6	6	8	12	11	7	11
ENSG00000162408	965	838	1022	1028	1067	1079	1361	1076
ENSG00000204859	401	451	542	514	562	455	580	473
ENSG00000049239	75	34	61	96	29	100	130	156
ENSG00000171612	323	249	329	361	368	307	434	384
ENSG00000188807	335	346	356	321	327	270	475	339
ENSG00000162441	760	722	936	1210	1060	808	1163	1185
ENSG00000173614	132	115	157	194	149	129	505	285
ENSG00000142657	9791	10172	13180	14495	13035	11162	14944	14819
ENSG00000175279	153	165	177	148	161	155	186	179
ENSG00000009724	2	9	2	11	6	4	29	4
ENSG00000177000	290	325	489	374	379	338	559	409
ENSG00000011021	317	384	519	466	560	442	738	556
ENSG00000116688	1299	1304	1676	1545	1360	1397	2392	1746
ENSG00000162496	532	487	902	686	837	619	966	563
ENSG00000162460	16	25	30	6	13	22	27	10
ENSG00000204377	16	2	18	14	20	28	10	11
ENSG00000132881	20	7	16	16	22	19	27	8
ENSG00000187144	40	28	30	48	28	37	46	25
ENSG00000157191	1525	1412	1845	1727	1618	1445	2015	2087
ENSG00000058453	179	126	217	138	188	150	283	151
ENSG00000142619	16	27	16	28	22	18	13	61
ENSG00000159339	14	2	5	17	5	12	19	12
ENSG00000117148	29	6	32	25	36	27	20	12
ENSG00000159423	342	348	678	584	559	566	649	623
ENSG00000270136	589	447	633	687	580	573	726	650
ENSG00000162543	83	97	130	95	88	95	98	96
ENSG00000117245	122	69	125	95	136	110	153	189
ENSG00000117298	954	611	803	661	699	682	875	777
ENSG00000125945	24	20	31	27	43	25	16	30
ENSG00000179163	162	101	143	122	145	105	233	157
ENSG00000157978	394	254	461	346	346	343	502	421
ENSG00000162430	532	378	586	532	407	497	638	555
ENSG00000127423	489	408	552	480	379	468	593	560
ENSG00000182749	60	33	16	66	21	35	63	81
ENSG00000158006	412	395	496	477	553	454	570	519
ENSG00000158014	0	4	2	0	4	6	9	4
ENSG00000175087	49	32	65	66	32	41	91	80
ENSG00000158062	213	289	351	364	395	337	604	347
ENSG00000169442	48	57	52	51	47	61	53	70
ENSG00000176092	168	162	214	307	233	246	185	257
ENSG00000117682	1020	1269	1416	1932	1452	1422	1995	1989
ENSG00000198746	416	422	586	446	443	375	818	542
ENSG00000090020	253	216	275	274	231	241	354	224
ENSG00000142733	77	42	64	37	40	46	53	57
ENSG00000181773	185	93	119	152	115	116	168	169
ENSG00000158195	1977	1298	1584	1716	1393	1616	2334	1937
ENSG00000158156	223	182	234	203	210	188	256	195
ENSG00000158161	568	603	713	768	710	627	706	704
ENSG00000269804	10	7	20	2	10	8	7	7
ENSG00000130772	620	454	629	640	608	507	812	661
ENSG00000162512	399	244	346	286	302	295	504	494
ENSG00000084628	719	482	701	557	529	645	749	798
ENSG00000162517	1343	1501	2481	2313	1691	1665	3185	2596
ENSG00000134668	42	29	27	6	12	14	42	18
ENSG00000121775	634	625	924	751	752	667	1028	954
ENSG00000160051	144	211	293	280	250	181	356	323
ENSG00000162526	0	0	0	1	0	4	1	4
ENSG00000225828	5	5	3	4	5	7	5	6
ENSG00000254553	9	12	27	32	22	15	30	48
ENSG00000160062	338	375	536	439	460	398	659	482
ENSG00000162520	107	69	50	42	34	58	144	139
ENSG00000160094	166	136	199	83	157	132	227	150
ENSG00000121903	23	47	59	39	47	35	65	50
ENSG00000187513	22	17	14	40	31	23	16	35
ENSG00000163867	234	276	261	335	284	218	284	272
ENSG00000020129	439	588	705	454	516	405	835	519
ENSG00000092853	2102	1862	2241	2079	1912	1843	2964	2357
ENSG00000214193	70	50	62	84	56	56	109	65
ENSG00000196182	250	227	304	301	264	310	355	296
ENSG00000116885	88	111	165	178	142	159	304	168
ENSG00000134690	2298	2493	3581	3514	3047	2798	3753	3818
ENSG00000183317	6	8	7	16	15	16	10	14
ENSG00000185090	31	35	59	39	41	52	40	28
ENSG00000204084	584	559	619	711	551	555	701	689
ENSG00000117000	999	589	545	819	711	641	1167	973
ENSG00000049089	18	5	15	13	11	9	8	23
ENSG00000187801	57	53	64	100	83	44	155	111
ENSG00000179862	68	29	54	31	36	37	40	37
