gene_names	gene_types	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8
ENSG00000237683	hk_gene	50	61	39	56	41	35	49	42
ENSG00000187634	hk_gene	2	8	9	3	2	2	14	4
ENSG00000188976	hk_gene	3575	2794	4034	2675	3642	2605	6322	3396
ENSG00000187961	hk_gene	54	68	96	58	44	75	70	65
ENSG00000187583	hk_gene	8	8	0	3	0	1	6	2
ENSG00000187608	hk_gene	1525	1122	1247	1001	902	822	1420	1510
ENSG00000188157	hk_gene	670	575	763	710	481	486	389	425
ENSG00000237330	hk_gene	3	0	1	1	0	1	1	0
ENSG00000131591	hk_gene	96	67	130	77	56	54	185	82
ENSG00000162571	hk_gene	14	12	17	27	19	13	13	11
ENSG00000186891	hk_gene	22	11	3	6	1	3	0	0
ENSG00000078808	hk_gene	263	234	224	217	175	194	400	263
ENSG00000176022	hk_gene	213	151	243	117	216	160	218	169
ENSG00000184163	hk_gene	10	1	5	9	6	3	5	3
ENSG00000160087	hk_gene	915	432	475	385	335	357	1291	640
ENSG00000162572	non_hk_gene	4	4	7	9	7	11	10	9
ENSG00000131584	hk_gene	36	43	52	51	54	44	65	63
ENSG00000169972	hk_gene	1069	937	1113	740	774	741	1340	747
ENSG00000127054	hk_gene	2904	2719	3713	3122	3222	3056	4080	3599
ENSG00000224051	hk_gene	85	63	98	51	71	57	122	69
ENSG00000169962	hk_gene	0	0	2	0	0	1	0	3
ENSG00000107404	non_hk_gene	253	256	276	254	234	226	367	213
ENSG00000162576	hk_gene	201	174	133	110	136	109	107	163
ENSG00000175756	hk_gene	9209	6995	8861	5589	8097	6336	13221	8098
ENSG00000221978	hk_gene	1169	882	1385	1099	743	742	2152	1720
ENSG00000224870	hk_gene	302	346	381	550	278	281	653	541
ENSG00000242485	hk_gene	12535	13563	16739	15954	15197	12974	20187	15506
ENSG00000235098	hk_gene	2	8	4	6	2	11	15	2
ENSG00000179403	hk_gene	458	310	500	242	255	217	599	281
ENSG00000215915	non_hk_gene	20	20	23	11	44	27	41	29
ENSG00000160072	hk_gene	318	289	401	325	399	299	501	199
ENSG00000197785	hk_gene	326	254	353	339	274	241	473	280
ENSG00000205090	non_hk_gene	0	0	1	0	0	0	6	0
ENSG00000160075	hk_gene	3630	3369	3659	4491	3681	3655	4482	4523
ENSG00000215014	non_hk_gene	26	14	38	15	22	17	117	25
ENSG00000228594	hk_gene	246	161	231	202	143	194	267	233
ENSG00000197530	hk_gene	156	127	91	88	113	78	60	46
ENSG00000248333	non_hk_gene	1858	1132	1868	1311	1383	1303	1884	1569
ENSG00000189339	non_hk_gene	360	368	435	265	326	280	394	367
ENSG00000008128	non_hk_gene	638	390	623	642	742	551	1071	728
ENSG00000215790	non_hk_gene	41	53	93	50	36	39	114	58
ENSG00000008130	hk_gene	563	406	435	451	244	365	495	401
ENSG00000078369	hk_gene	5499	4636	4807	5193	4442	3992	5132	5747
ENSG00000178821	hk_gene	194	161	126	125	83	116	192	143
ENSG00000142609	hk_gene	8	5	5	13	2	12	7	18
ENSG00000187730	hk_gene	31	13	27	13	8	13	13	10
ENSG00000067606	hk_gene	376	280	329	264	245	222	275	199
ENSG00000162585	hk_gene	705	479	707	299	299	254	796	403
ENSG00000269554	hk_gene	0	7	5	5	0	5	4	14
ENSG00000203301	hk_gene	2	13	2	8	1	2	11	1
ENSG00000157933	hk_gene	243	136	186	159	150	152	133	141
ENSG00000116151	hk_gene	93	124	144	78	71	65	129	111
ENSG00000157916	hk_gene	2448	1810	2218	1903	2232	1649	3324	2228
ENSG00000157911	non_hk_gene	332	223	276	185	160	156	725	291
ENSG00000157881	hk_gene	275	251	250	284	260	265	329	271
ENSG00000157873	hk_gene	0	0	4	0	3	1	0	3
ENSG00000157870	non_hk_gene	657	621	728	579	645	542	1090	701
ENSG00000142606	non_hk_gene	8	8	1	0	5	3	6	3
ENSG00000215912	non_hk_gene	2	5	8	4	13	5	10	5
ENSG00000169717	hk_gene	0	0	1	0	0	4	0	0
ENSG00000142611	hk_gene	4	12	18	6	5	7	19	2
ENSG00000130762	non_hk_gene	382	285	396	273	357	220	579	329
ENSG00000162591	non_hk_gene	24	35	50	19	27	17	44	36
ENSG00000158109	hk_gene	736	585	784	745	590	688	688	652
ENSG00000116213	hk_gene	525	340	528	554	551	504	498	425
ENSG00000078900	hk_gene	58	26	32	31	9	21	10	19
ENSG00000235169	non_hk_gene	7	6	4	5	4	10	5	18
ENSG00000130764	hk_gene	1666	1466	1495	1294	1302	1334	1640	1359
ENSG00000116198	hk_gene	397	247	302	347	274	269	327	252
ENSG00000169598	non_hk_gene	216	246	262	384	294	261	268	438
ENSG00000198912	hk_gene	1989	2022	2716	2405	1987	1707	2333	2291
ENSG00000196581	hk_gene	123	65	128	73	87	82	63	69
ENSG00000131697	hk_gene	110	148	129	99	90	84	115	100
ENSG00000069424	hk_gene	176	92	149	128	70	97	76	72
ENSG00000116254	non_hk_gene	8	6	6	8	12	11	7	11
ENSG00000116251	hk_gene	16190	12454	15216	18914	14009	13037	17691	17019
ENSG00000158286	hk_gene	24	23	10	21	2	5	11	27
ENSG00000116237	hk_gene	1999	1558	1982	1818	1669	1576	2272	1751
ENSG00000173673	hk_gene	11	1	2	7	3	2	8	0
ENSG00000158292	hk_gene	238	177	263	209	212	184	148	245
ENSG00000097021	hk_gene	4296	4643	5063	7518	4941	5729	5752	6948
ENSG00000069812	hk_gene	1	0	6	8	8	1	2	2
ENSG00000187017	hk_gene	49	24	29	26	11	18	24	20
ENSG00000215788	hk_gene	83	31	67	54	44	43	34	44
ENSG00000171680	hk_gene	96	66	64	54	39	40	45	40
ENSG00000162408	non_hk_gene	965	838	1022	1028	1067	1079	1361	1076
ENSG00000204859	non_hk_gene	401	451	542	514	562	455	580	473
ENSG00000162413	hk_gene	459	423	392	423	384	365	425	361
ENSG00000116273	hk_gene	642	557	567	674	419	411	472	509
